"id","l3","rooms","bathrooms","surface_total","surface_covered","price","property_type"
"AfdcsqUSelai1ofCAq2B0Q==","Velez Sarsfield",3,2,95,69,199900,"Casa"
"ESzybdH7YU2uIU1/kHtRGw==","Nuñez",1,1,44,38,147000,"Departamento"
"r22OfzZ3kXooSPoE5HMuZQ==","Almagro",1,1,40,37,92294,"Departamento"
"atZQXVtyfG7+OiX6gYY3lA==","Almagro",1,1,49,44,115000,"Departamento"
"R7IsTtVsxPCiRbIHMaWGxA==","Almagro",1,1,40,37,77000,"Departamento"
"Tur/v/qE41UBT83NM/bI7w==","Almagro",1,1,40,37,88900,"Departamento"
"PNtNl6sWjHEyRPQAeRAIgw==","Almagro",1,1,40,37,88798,"Departamento"
"Lhg4dNG9VmPbHt0Swy2ATA==","Almagro",1,1,49,44,110975,"Departamento"
"MFngc+8f1sFriO+lteUuZw==","Almagro",1,1,40,37,92943,"Departamento"
"oeLhuwomY2yj4A9TtDrgCA==","Almagro",1,1,40,37,99000,"Departamento"
"FmtrGFKvbW1cAmPdOafxbA==","Almagro",1,1,40,37,96984,"Departamento"
"j3TPUzK3MS+Al1oSBdDwPQ==","Palermo",1,1,32,30,125000,"Departamento"
"QohS/eOYCforD1lMAO5xWQ==","Palermo",1,1,40,34,99500,"Departamento"
"WEJo+0VJA9h/9SSarNFwHw==","Palermo",1,1,36,33,121600,"Departamento"
"ByY9fh3StPKq4zCRtWeNCg==","Palermo",3,2,90,90,285000,"Departamento"
"jtR+xskLLJjJBPuSA3MwKg==","Palermo",1,1,45,35,150000,"Departamento"
"MbPmZ9H7zmQO/0PM3bGorA==","Palermo",1,1,54,48,140000,"Departamento"
"ep41mLAb7DbaEaQO463jmw==","Palermo",2,1,40,40,110000,"Departamento"
"UOCjxLLCRdZ9ZA3AF+Rk+w==","Palermo",1,1,33,32,110000,"Departamento"
"jHVNdA+pFvFgvIvElqYQrA==","Palermo",1,1,40,34,96000,"Departamento"
"HchjBwJ7xoMsyPu7+wr2Hw==","Caballito",1,1,40,36,152732,"Departamento"
"VI36xWzkGnmQ8BPj2b2LZQ==","Villa Crespo",1,1,36,33,108000,"Departamento"
"uYtlstOiGwrzC+Bveem70Q==","Villa Crespo",1,1,38,34,94800,"Departamento"
"V1Z1MLnb0ltAf1avbmeW+w==","Villa Urquiza",1,1,32,29,88000,"Departamento"
"R+yVbxakCV5KnTARJerZww==","Villa Urquiza",2,2,75,68,225000,"Departamento"
"3mG1aRPOTKwP9r7ATiOq0Q==","Parque Chacabuco",1,1,70,70,225000,"Departamento"
"sprmySwo754xn5V+RkBBVw==","Barracas",1,1,31,28,85000,"Departamento"
